Corem,Genes
537994,b1269;b1652;b1835;b2581
537998,b1627;b1628;b1629;b1630;b1631;b1632;b1835;b1652;b3015
538528,b0034;b1541;b1588;b1589;b1590;b1593;b1670;b1671;b1672;b1752;b1753;b4335;b1750;b1751;b1754;b1757;b1906;b2343;b2990;b2991;b2994;b3156;b3159;b4329;b4330
538552,b1670;b1671;b1672
538658,b0150;b0468;b0584;b0586;b0589;b0594;b0595;b0596;b0597;b0803;b0804;b0805;b1018;b1019;b1102;b1252;b1494;b1495;b1679;b1680;b1681;b1682;b1683;b1684;b2392;b1705;b2673;b2674;b2676;b3337;b2675;b3005;b3006;b3070;b4292;b4293;b4367;b2211;b4287;b4291;b3291
538659,b0803;b1679;b1680;b1681;b1682;b1683;b1684;b3291
539318,b0112;b1704;b2600;b2601
539988,b1001;b1432;b1527;b1730;b1936;b2650;b3120;b3121;b4047;b4066;b4253;b4325
540291,b0346;b1197;b1276;b1748;b3450;b3453
540348,b1432;b1752;b1754;b4253
